psgc_code,correspondence_code,name,level,region,province,city_municipality
0603018028,063018028,Pd Monfort North,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018029,063018029,Managuit,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018030,063018030,Maquina,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018031,063018031,Nanding Lopez,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018032,063018032,Pagdugue,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018033,063018033,Paloc Bigque,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018034,063018034,Paloc Sool,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018035,063018035,Patlad,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018036,063018036,Pulao,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018037,063018037,Rosario,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018038,063018038,Sapao,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018039,063018039,Sulangan,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018040,063018040,Tabucan,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018041,063018041,Talusan,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018042,063018042,Tambobo,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018043,063018043,Tamboilan,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018044,063018044,Victorias,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018045,063018045,Burgos-Regidor,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018046,063018046,Aurora-del Pilar,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018047,063018047,Buenaflor Embarkadero,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018048,063018048,Lopez Jaena - Rizal,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603018049,063018049,Basa-Mabini Bonifacio,Bgy,Region VI (Western Visayas),Iloilo,Dumangas
0603019000,063019000,Estancia,Mun,Region VI (Western Visayas),Iloilo,
0603019001,063019001,Lumbia,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019002,063019002,Bayas,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019003,063019003,Bayuyan,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019004,063019004,Botongon,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019005,063019005,Bulaqueña,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019006,063019006,Calapdan,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019007,063019007,Cano-an,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019008,063019008,Daan Banua,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019009,063019009,Daculan,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019010,063019010,Gogo,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019011,063019011,Jolog,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019012,063019012,Loguingot,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019013,063019013,Malbog,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019014,063019014,Manipulon,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019015,063019015,Pa-on,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019016,063019016,Villa Pani-an,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019017,063019017,Poblacion Zone 1,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019018,063019018,Lonoy,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019019,063019019,San Roque,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019020,063019020,Santa Ana,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019021,063019021,Tabu-an,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019022,063019022,Tacbuyan,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019023,063019023,Tanza,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019024,063019024,Poblacion Zone II,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603019025,063019025,Poblacion Zone III,Bgy,Region VI (Western Visayas),Iloilo,Estancia
0603020000,063020000,Guimbal,Mun,Region VI (Western Visayas),Iloilo,
0603020001,063020001,Anono-o,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020002,063020002,Bacong,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020003,063020003,Bagumbayan Pob.,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020004,063020004,Balantad-Carlos Fruto,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020005,063020005,Baras,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020006,063020006,Binanua-an,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020007,063020007,Torreblanca-Blumentritt,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020008,063020008,Bongol San Miguel,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020009,063020009,Bongol San Vicente,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020010,063020010,Bulad,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020011,063020011,Buluangan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020012,063020012,Burgos-Gengos,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020013,063020013,Cabasi,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020014,063020014,Cabubugan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020015,063020015,Calampitao,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020016,063020016,Camangahan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020017,063020017,Generosa-Cristobal Colon,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020018,063020018,Gerona-Gimeno,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020019,063020019,Girado-Magsaysay,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020020,063020020,Gotera,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020021,063020021,Igcocolo,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020022,063020022,Libo-on Gonzales,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020023,063020023,Lubacan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020024,063020024,Nahapay,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020025,063020025,Nalundan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020026,063020026,Nanga,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020027,063020027,Nito-an Lupsag,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020028,063020028,Particion,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020029,063020029,Pescadores,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020030,063020030,Rizal-Tuguisan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020031,063020031,Sipitan-Badiang,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020032,063020032,Iyasan,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603020033,063020033,Santa Rosa-Laguna,Bgy,Region VI (Western Visayas),Iloilo,Guimbal
0603021000,063021000,Igbaras,Mun,Region VI (Western Visayas),Iloilo,
0603021001,063021001,Alameda,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021002,063021002,Amorogtong,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021003,063021003,Anilawan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021004,063021004,Bagacay,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021005,063021005,Bagacayan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021006,063021006,Bagay,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021007,063021007,Balibagan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021008,063021008,Barasan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021009,063021009,Binanua-an,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021010,063021010,Boclod,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021011,063021011,Buenavista,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021012,063021012,Buga,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021013,063021013,Bugnay,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021014,063021014,Calampitao,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021015,063021015,Cale,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021016,063021016,Corucuan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021017,063021017,Catiringan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021018,063021018,Igcabugao,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021019,063021019,Igpigus,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021020,063021020,Igtalongon,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021021,063021021,Indaluyon,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021022,063021022,Jovellar,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021023,063021023,Kinagdan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021024,063021024,Lab-on,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021025,063021025,Lacay Dol-Dol,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021026,063021026,Lumangan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021027,063021027,Lutungan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021028,063021028,Mantangon,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021029,063021029,Mulangan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021030,063021030,Pasong,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
