Flooded Areas within Pasig City 2020,,,,
50,San Joaquin,Villa Capistrano,,6-8 inches
51,Sta. Lucia,Callos Compound,,10-15 inches
52,Manggahan,Imelda Ave.,Mcdo and Jollibee,6-7 inches
53,Manggahan,Buenos Aires,Market,10-15 inches
54,Bagong Ilog,F. Intalan St.,,2-3 inches
55,Santolan,"Amang Rodriguez
Ave.",going to ilaya Rosario,2-3 inches
56,Sta. Lucia,Tawi-Tawi Comp.,,5-6 inches
57,Manggahan,Rome St.,Greenpark Ville,25-30 inches
58,Pinagbuhatan,Ilugin,riverside,8-10 inches
59,Ugong,F. Legaspi St.,,4-6 inches
60,Manggahan,Karangalan Village,,2-3 inches
61,Maybunga,F. Legaspi St.,Parkwood Phase 1,4-5 Inches
62,Rosario,C. Raymundo Ave.,Eastside Manor,4-5 inches
63,Maybunga,Jenny's Ave.,corner F. Legaspi,4-5 Inches
64,Pinagbuhatan,Willa Rey Road 1,,
65,San Joaquin,Villa Concio,,4-5 Inches
66,San Joaquin,San Bernardo,,12 inches
67,Maybunga,F. Legaspi St.,,7-8 inches
68,Dela Paz,Kalusugan St.,covered court,12-15 inches
69,Rosario,St. Joseph,DABA Compound,24 inches
70,Manggahan,Kabutihan St.,,3 feet
71,Manggahan,Karangalan Village,Kayamanan St.,24 inches
72,Dela Paz,F. Mariano St.,"Dela Paz Pumping
Station",12 inches
73,Manggahan,Magsaysay St.,,2-3 inches
74,San Miguel,Mercedes Ave.,Mercedes Village,2 feet
75,Sta. Lucia,11th Ave.,Riverside Village,4 feet
76,Dela Paz,F. Mariano St.,near creek,5-6 inches
77,Pinagbuhatan,A. Esguerra St.,,
78,Sta. Lucia,"Bautista
Compound",,
79,Sta. Rosa,P. Burgos Ext.,Morelos Compound,1-2 inches
80,Palatiw,Caruncho Ave.,Lianas,3-4 inches
81,San Nicolas,Caruncho Ave.,"corner San Agustin
Ave.",2-3 inches
82,Caniogan,C. Raymundo Ave.,C. Dela Paz,6-8 inches
83,San Joaquin,Villa Munsod,,2-3 inches
84,San Joaquin,Elisco Road,Front of Meralco,4-5 Inches
85,San Miguel,Sandoval Ave.,DiviMart,5 inches
86,San Miguel,M. Eusebio Ave.,,
,,,,
Flooded Areas within Pasig City 2022,,,,
No.,Barangay,Street,Landmark,Water Level (Estimated)
1,Sta. Lucia,Bagong Anyo,corner Bautista,5 inches
2,Sta. Lucia,"Liamson
Subdivision",,2-3 inches
3,Sta. Lucia,Champaca St.,,2-3 inches
4,Sta. Lucia,Dahlia St.,,4 inches
5,San Nicolas,Caruncho Ave.,infront of City Hall,3 inches
6,Sto. Tomas,"Concha Lane Purok
5",Dulo,3-4 inches
7,Sta. Lucia,Ortigas Ave.,"infront of Lucky Gold
Plaza",
8,San Nicolas,F. Soriano,"infront of
impounding",
9,Sta. Lucia,Tantanco St.,,3-4 inches
10,Sta. Lucia,Bagong Anyo St.,,3-4 inches
11,Manggahan,Sampaguita St.,,6-8 inches
12,San Miguel,Villa Eusebio,,4-5 inches
13,Sta. Lucia,"Marietta Romeo
Village",,2-3 inches
14,Pinagbuhatan,Kenneth Road,Ginebra St.,4-6 inches
15,Manggahan,Teachers Village,,3-5 inches
16,Pinagbuhatan,Nagpayong,,1 foot
17,Manggahan,Greenpark,,2 feet
18,Rosario,"Doña Juliana
Village",,3-5 inches
19,Sta. Lucia,Azucenia St.,,6-8 inches
20,Rosario,Ciudad Grande,,5-7 inches
21,Pinagbuhatan,"Urbano Velasco
Ave.","corner San Agustin
Ave.",3-4 inches
22,Sta. Lucia,Eireen St.,,5-6 inches
23,Sta. Lucia,Champaca St.,,2-3 inches
24,Sta. Lucia,Countryside Ave.,1st St.,3-4 inches
25,Rosario,Dabba Compound,,2-3 inches
26,San Miguel,"Arboleda
Compound",,10-12 inches
27,Dela Paz,Karangalan,Sto. Niño Elem,2 feet
28,Manggahan,St. Mary St.,,2-3 inches
29,Manggahan,St. Joseph St.,,3-4 inches
30,San Jose,Plaza Rizal,,3-4 inches
31,Sto. Tomas,Concha Lane,,2 inches
32,Pinagbuhatan,Sandoval Ave.,,2-4 inches
33,Manggahan,Pasig Greenpark,,2-3 feet
34,Manggahan,Pres. Quezon St.,Peras St.,2-3 inches
35,Manggahan,Teachers Village,,1-2 inches
36,Manggahan,Pasig Greenpark,Darwin St.,2 inches
37,Dela Paz,Marcos Highway,,12 inches
38,Manggahan,Karikitan St.,,2-3 inches
39,Manggahan,Mansanas St.,,3-5 inches
40,Manggahan,Labanos Ext.,,3-5 inches
41,Dela Paz,"Emerald Valle
Homes",,12 inches
42,Manggahan,Pipino St.,,3-5 inches
43,Manggahan,Lansones Ext.,,3-5 inches
44,Manggahan,Teachers Village,,3-5 inches
45,Manggahan,Metroville,,3-5 inches
46,San Nicolas,Caruncho Ave.,"corner Urbano
Velasco Ave.",2-3 inches
47,Manggahan,"Pres. Quezon St.
Napico",,3-4 inches
48,Pinagbuhatan,"along Sandoval
Ave.",,3-4 inches
49,San Nicolas,Caruncho Ave.,infront of City Hall,3-6 inches
50,San Nicolas,Caruncho Ave.,Mega Parking 1,5 inches
51,Pinagbuhatan,Nagpayong,Camachile St.,leg deep
52,Pinagbuhatan,Sandoval Ave.,corner N. Cruz,2 inches
53,Pinagbuhatan,Capistrano St.,,2 inches
54,Pinagbuhatan,Sandoval Ave.,SRS,
55,Manggahan,Pres. Quezon St.,,2-3 inches
56,San Miguel,Market Ave.,,2 inches
57,Malinao,F. Antonio St.,,5 inches
58,Pala,F. Soriano,,2-3 inches
59,Bagong Ilog,F. Intalan St.,,2 inches
60,Pinagbuhatan,"along Sandoval
Ave.",,2-5 inches
61,Kalawaan,Mangga St.,,7-10 inches
62,San Nicolas,Caruncho Ave.,infront of City Hall,3-5 inches
63,Kapitolyo,Shaw Blvd.,,3-5 inches
64,Sagad,"along C. Raymundo
Ave.",up to Maybunga,8 inches
65,Sto. Tomas,V. Baltazar St.,,3-5 inches
66,Palatiw,E. Santos St.,Balsangcat,12 inches
67,Manggahan,Peras St.,"corner Pres. Quezon
St.",3-4 inches
68,Pinagbuhatan,Kenneth Road,Blk. 19,5-7 inches
69,Palatiw,F. Soriano,,3-5 inches
70,Rosario,Jenny's Ext.,,5-8 inches
71,San Miguel,Mercedes Ave.,PS Bank,10 inches
72,Sumilang,along Dos De Julio,,5 inches
73,Buting,Tantanco St.,,12-15 inches
74,Sta. Lucia,Bautista/Liamson,,
75,Sto. Tomas,Villa Rosa,Basketball Court,4-6 inches
76,Manggahan,Soliven Ave.,Greenpark,12-15 inches
77,Rosario,Ortigas Ext.,Dabba Comp.,2-3 inches
78,Caniogan,Pag-Asa St.,,
79,Kalawaan,Axis Road,corner Elisco,
80,Malinao,G. Raymundo St.,,
81,San Miguel,Eusebio Ave.,Villa Eusebio,
82,San Miguel,Sandoval Ave.,Grand Monaco,
83,San Miguel,Market Ave.,Tambakan 1,
84,San Miguel,Victoria Road,,
85,San Miguel,Tambakan 2,,
86,San Miguel,Dr. Pilapil St.,Purok 1,
87,Palatiw,San Agustin Ave.,,
88,Maybunga,Parkwood,,2 feet
89,Manggahan,Metroville,PSP Ave.,3-5 inches
90,Manggahan,Metroville,St. Joseph,2-4 inches
91,Manggahan,Metroville,Jesus St.,5 inches
92,Malinao,"Urbano Velasco
Ave.",Meat Section,8 inches
93,San Nicolas,Market Ave.,Halamanan,4 inches
94,Pinagbuhatan,Sandoval Ave.,Power Fil,2-3 inches
