Flooded Areas within Pasig City 2020,,,,
74,Ugong,C5 Road,corner Eagle St.,
75,Rosario,Doña Juana Subd.,Topaz St.,15 inches
76,Santolan,Doroteo Ext.,,4 feet
77,Rosario,Bernal St.,Corner C. Raymundo,2-3 inches
78,Rosario,Ortigas Ext.,corner GSIS,2-3 inches
79,Pineda,F. Banaag St.,Pineda Elem. School,2-3 inches
80,Kapitolyo,Shaw Blvd.,corner Pioneer,3 inches
81,Bagong Ilog,C5 Road,Corner Canley Road,4-5 inches
82,Manggahan,Amang Rodriguez,corner PSP Ave.,4-5 inches
83,San Miguel,M. Eusebio Ave.,Villa Eusebio,6 inches
84,San Joaquin,Elisco Road,,6 inches
85,Manggahan,Amang Rodriguez,"from St. Camillus
Hospital to Sumisho",3-4 inches
86,Manggahan,Amsterdam St.,corner Washington,4-5 inches
87,Pinagbuhatan,"Urbano Velasco
Ave.",corner Acacia,2-3 inches
88,Dela Paz,F. Mariano St.,Yap Compound,2 feet
89,Manggahan,Karangalan Village,,2 Feet
90,Pinagbuhatan,Sandoval Ave.,Greenwoods,4-5 inches
91,Dela Paz,F. Mariano St.,,2 feet
92,Santolan,Sgt. De Leon St.,Corner Natasha St.,2 feet
93,Santolan,Pinagbuklod,Tawiran,2 feet
94,Rosario,Doña Andrea,Dream Flower,2 feet
95,Rosario,Doña Damiana,Paraluman St.,2 feet
96,Rosario,Doña Damiana,Luwalhati St.,2 feet
97,Manggahan,Karangalan Village,Gate 5,2 feet
98,Santolan,Doroteo,Doroteo Court,2 feet
99,Santolan,Tawiran St.,Tawiran Bangkaan,2 feet
100,Santolan,Dado Compound,,2 feet
101,Santolan,Rafael Cruz St.,,2 feet
102,Santolan,Victorino St.,,2 feet
103,Manggahan,Karangalan Village,near Sto. Niño Elem.,3 feet
,,,,
Flooded Areas within Pasig City 2025,,,,
No.,Barangay,Street,Landmark,Water Level (Estimated)
1,Sta. Lucia,Champaca St.,,3-4 inches
2,Sta. Lucia,"Bautista
Compound",,12 inches
3,San Joaquin,Elisco Road,,2-3 inches
4,Pinagbuhatan,"Urbano Velasco
Ave.",,3-5 inches
5,San Nicolas,Caruncho Ave.,Petro Gazz,3-4 inches
6,San Nicolas,F. Manalo St.,infront of City Hall,2-3 inches
7,Kapitolyo,East Capitol Drive,infront of Meralco,3-5 inches
8,Manggahan,Karikitan St.,"corner Kabayanihan
St.",3-5 inches
9,Palatiw,E. Santos St.,,3-5 inches
10,Manggahan,Kaimito St.,,3-5 inches
11,San Miguel,M. Eusebio Ave.,,3-5 inches
12,Pinagbuhatan,Sandoval Ave.,Jollibee,3-5 inches
13,Sumilang,Dr. Garcia St.,,2-3 inches
14,Pinagbuhatan,"Urbano Velasco
Ave.",Royal Villa,10 inches
15,Pinagbuhatan,Pinalad Road,Camachile St.,10 inches
16,Pinagbuhatan,Villa Cuana,,2-3 inches
17,Kalawaan,P. Visitacion St.,corner Elisco Road,2-3 inches
18,Sta. Lucia,Riverside,"9th St. corner 10th
St.",12 inches
19,Dela Paz,Yap Compound,Katipiran St.,4-5 inches
20,Dela Paz,K118,,4-5 inches
21,Dela Paz,Karangalan,Kabutihan Road,4-5 inches
22,San Joaquin,Villa Capistrano,Garden Area,2-3 inches
23,San Miguel,M. Eusebio Ave.,,2-3 inches
24,Kalawaan,Elisco Road,going to Visitacion,11 inches
25,Caniogan,"Dr. Sixto Antonio
Ave.",Rizal High School,3-5 inches
26,San Miguel,Mercedes Ave.,M. Eusebio Damayan,8 inches
27,Pinagbuhatan,Urbano Velasco,corner Acacia,3 inches
28,Pinagbuhatan,Urbano Velasco,corner Esguerra St.,3 inches
29,Manggahan,Pipino Ext.,,5 inches
30,Manggahan,Labanos St.,,5 inches
31,Manggahan,Mansanas St.,,5 inches
32,Manggahan,Guyabano St.,,5 inches
33,Pinagbuhatan,Nagpayong,Mulawin St.,5 inches
34,San Miguel,M. Eusebio Ave.,Villa Eusebio,1 inch
35,Dela Paz,Karangalan,Phase 2,12 inches
36,Kalawaan,Resettlement,,4-7 inches
37,Malinao,G. Raymundo St.,,2-3 inches
38,Santolan,"Sta. Lucia
Subdivision",,7-10 inches
39,Sta. Lucia,Callos Compound,,2 feet
40,Sta. Lucia,Hugo Compound,,1 foot
41,Manggahan,Capetown St.,corner Rome St.,5 inches
42,Manggahan,Soliven Ave.,corner Kingston,5 inches
43,Manggahan,Panama St.,corner Stockholm,5 inches
44,Manggahan,Paris St.,corner Soliven Ave.,5 inches
45,Manggahan,Prague St.,,10 inches
46,Manggahan,Rome St.,corner Prague St.,10 inches
47,Manggahan,Washington St.,Iglesia,10 inches
48,Manggahan,Guatemala St.,corner Rome St.,10 inches
49,Manggahan,Kabayanihan St.,corner Karikitan St.,15 inches
50,Manggahan,Athens St.,corner Guatemala St.,10 inches
51,Dela Paz,Karangalan,Phase 2,18 inches
52,Kalawaan,Resettlement,,4-7 inches
53,Santolan,Masikap St.,,5 inches
54,Santolan,Sgt. De Leon St.,,5 inches
55,Sta. Lucia,Taw-Tawi St.,,15 inches
56,Manggahan,Karangalan,Metroville,15 inches
57,Sta. Lucia,"Morales
Compound",5th St.,3-4 inches
58,Sta. Lucia,"Bautista
Compound",,3-4 inches
59,Maybunnga,Westbank Road,,13 inches
60,Santolan,Sgt. De Leon St.,,15 inches
61,Santolan,Masikap St.,Bangkaan,5 inches
62,Santolan,Doroteo St.,,15 inches
63,Santolan,Marcelino St.,,15 inches
64,Santolan,Rafael Cruz St.,,5 inches
65,Santolan,Victorino St.,,5 inches
66,Ugong,C. Santos St.,,5 inches
67,Manggahan,K16,,1 foot
68,Sta. Lucia,Bagong Anyo St.,,4-5 inches
69,Manggahan,Stockholm St.,,2-3 inches
70,Sta. Lucia,Metropolis 1,,2 feet
71,Sta. Lucia,Metropolis 2,,2 feet
72,Sta. Lucia,Rosario Village,,2 feet
73,Rosario,"Rosario Village
TRAMO",,14 inches
74,Manggahan,"Amang Rodriguez
Ave.",Brgy. Hall,24 inches
75,San Miguel,M. Eusebio Ave.,,2 feet
76,Manggahan,Kaginhawaan St.,corner Karikitan St.,4-5 inches
77,Sta. Lucia,Champaca St.,,4-5 inches
78,Sta. Lucia,"Metro Green
Village",Hawk St.,3-4 inches
79,Rosario,DABA St.,,2 feet
80,Sta. Lucia,De Castro,Rosal St.,2-3 inches
81,Sta. Lucia,De Castro,Dahlia St.,4 inches
82,Sta. Lucia,Bagong Anyo St.,,3 feet
83,Sta. Lucia,Azucena St.,,3 feet
84,Sta. Lucia,Liro St.,,6-10 inches
85,Sta. Lucia,St. Jude St.,Thaddeus,4-5 feet
86,Sagad,Dr. Pilapil St.,going to San Miguel,5 inches
87,Sagad,Feliciano St.,corner E. Angeles St.,2 feet
88,Sagad,Villa Roman,,6 inches
89,Maybunga,"Parkwood
Executive Village",Phase 4B,2 feet
90,Palatiw,E. Santos St.,Balsangkat HC,
91,Sta. Lucia,Ilang-Ilang St.,,5 inches
92,Bagong Ilog,A. Bonifacio St.,dulo,5 inches
93,Sta. Lucia,"Roberto Antonio
St.",,15 inches
94,Manggahan,Washington St.,Iglesia ni Cristo,5 inches
95,Sta. Lucia,"Marieta Romeo
Village",,15 inches
96,Rosario,Victoria Ville,,5 inches
97,Maybunga,Damayan Homes,,15 inches
98,Maybunga,"San Antonio Abad
Subd.",,5 inches
99,Maybunga,Jenny's Ave.,"Pasig Millenium
Garden",2-3 inches
100,Sta. Lucia,Mabuhay St.,,4 feet
101,Rosario,Greenland Village,Moon St.,5 inches
102,Sta. Lucia,Arnel IV Subd.,,3 feet
103,Manggahan,Kabayanihan St.,corner Karikitan St.,14 inches
104,Bagong Ilog,C5 Road,corner Pasig Blvd.,2-3 inches
105,Bambang,Dr. Garcia St.,,3-4 inches
106,San Joaquin,A. Policarpio St.,,15 inches
107,Sta. Cruz,Purok 6-7,Callejon 2,3 inches
108,Sta. Lucia,"Rosario Village
TRAMO",,10 inches
109,Sta. Lucia,St. Jude St.,Thaddeus,2 inches
110,Dela Paz,Yap Compound,Katipiran St.,2 feet
111,Rosario,Dabba,SM East Ortigas,1-2 inches
112,Maybunga,Westbank Road,,6 feet
113,Maybunga,Damayan Homes,,1 inch
114,Malinao,G. Raymundo St.,corner F. Antonio St.,2 feet
115,San Nicolas,Market Ave.,MVSM Bank,1-2 inches
116,Dela Paz,"Phase 2A
Karangalan Village",Blk 48 Lot 7 K113,2 feet
117,San Miguel,M. Eusebio Ave.,,4-5 inches
118,Manggahan,Kaginhawaan St.,to Kaunlaran St.,5 inches
119,Manggahan,Kaunlaran St.,,5 inches
120,Manggahan,Trinidad Homes,1st St.,5 inches
121,Manggahan,Trinidad Homes,2nd St.,5 inches
122,Manggahan,Kabayanihan St.,corner Karikitan St.,5 inches
123,Manggahan,Imelda Ave.,Buenas Market,2 inches
124,Manggahan,Metroville,going to Felix Ave.,5 inches
125,Rosario,Dabba,Paraluman St.,2 feet
126,Pinagbuhatan,Sandoval Ave.,corner Kenneth Road,2-3 inches
127,Sta. Lucia,Riverside Village,,4-5 feet
128,San Joaquin,A. Policarpio St.,,2-3 inches
129,Sta. Lucia,Hugo Compound,,1-2 inches
130,Sta. Lucia,Tawi-Tawi St.,,15 inches
131,Sta. Lucia,Riverside Village,9th St.,2 feet
132,Sta. Lucia,Riverside Village,10th St.,2 feet
133,Sta. Lucia,Tawi-Tawi St.,,1 inch
134,Palatiw,M.H. Del Pilar St.,Villa Sula,5 inches
135,Sta. Lucia,10th Ave.,,5-8 inches
136,Sta. Lucia,11th Ave.,,5-8 inches
137,Sta. Lucia,Callos Compound,,5-10 inches
138,Sumilang,Dos De Julio St.,,7 inches
139,Sumilang,Katwiran St.,,7 inches
140,Sumilang,Kalayaan St.,,7 inches
141,Sumilang,Magtanggol St.,,7 inches
142,Bagong Ilog,Sgt. Pascua St.,,7 inches
143,Sumilang,Katwiran St.,,2-3 inches
144,Pinagbuhatan,"Urbano Velasco
Ave.",Royal Village,3-5 inches
145,Sumilang,Kalayaan St.,Dr. Sixto Elem,3-5 inches
146,Pinagbuhatan,"Urbano Velasco
Ave.",Acacia St.,3-5 inches
147,Pinagbuhatan,"Urbano Velasco
Ave.",Esguerra St.,5 inches
148,Sta. Lucia,Kaunlaran St.,"Rosario 5 and 6
tennis court",5 inches
149,Malinao,"Urbano Velasco
Ave.","going to
Pinagbuhatan",6-7 inches
150,Palatiw,E. Santos St.,Balsancat,11 inches
151,San Nicolas,Market Ave.,,2-3 inches
152,San Miguel,M. Eusebio Ave.,PCGH,5 inches
153,San Nicolas,Caruncho Ave.,Immaculada,3-4 inches
154,Bagong Ilog,Sgt. Pascua,,
155,Kalawaan,Dalandan St.,Resettlement,2-3 inches
156,Kalawaan,Ismar,,2-3 inches
157,Bagong Ilog,Sgt. Pascua,Pook Maligaya,4-5 inches
158,Bagong Ilog,R. Valdez St.,,4-5 inches
159,Bagong Ilog,B. Tatco St.,,4-5 inches
160,Bagong Ilog,A. Flores,Ilaya,4-5 inches
161,Bagong Ilog,Joe Borris St.,,4-5 inches
162,Bagong Ilog,C5 Road,Global Oil,4-5 inches
163,Sta. Lucia,"Morales
Compound",,
164,Pinagbuhatan,"Urbano Velasco
Ave.",,5 inches
165,Pinagbuhatan,Caliwag St.,,5 inches
166,Pinagbuhatan,Acacia St.,,5 inches
167,Ugong,C5 Road,Hypermarket,5 inches
168,Ugong,Meralco Ave.,The Alexandra,2-3 inches
169,Santolan,R. Cruz St.,5th St.,12 inches
170,Santolan,"Amang Rodriguez
Ave.",Mirea Residence,2-3 inches
171,Dela Paz,Kalusugan St.,,12 inches
172,Dela Paz,Kalakasan St.,,12 inches
173,Dela Paz,Kayamanan St.,,12 inches
174,Dela Paz,Kalikasan St.,,12 inches
175,Dela Paz,Kabutihan St.,,12 inches
176,Manggahan,"Amang Rodriguez
Ave.",Pasig Green Park,4-5 inches
177,Santolan,Mejico St.,corner Pasco,12 inches
178,Santolan,Gabriel St.,1st St.,12 inches
179,Santolan,Mejico St.,corner Evangelista,12 inches
180,Santolan,Buenmar St.,,12 inches
181,Santolan,Sta. Lucia St.,corner Sto. Tomas St.,12 inches
182,Santolan,Sto. Tomas St.,corner Dumandan,12 inches
183,Santolan,Sgt. De Leon St.,,12 inches
184,Santolan,Andres St.,,12 inches
185,Santolan,Sta. Lucia St.,corner F. Pasco,12 inches
186,San Joaquin,Elisco Road,,5 inches
187,Pinagbuhatan,Urbano Velasco,corner Acacia,2-3 inches
188,Palatiw,E. Santos,interior,1 inch
189,Pinagbuhatan,Urbano Velasco,Royal Villa,5 inches
190,Sumilang,Dos De Julio,,2-5 inches
191,Pinagbuhatan,Esguerra St.,,1 inch
192,Manggahan,Monggo St.,,2-3 inches
193,Sta. Lucia,Champaca St.,De Castro Elem.,2-3 inches
194,Rosario,Ortigas Ext.,Doña Juana,
195,San Miguel,Mercedes Ave.,cor. Market Ave.,5 inches
196,Bagong Ilog,Pasig Blvd.,,5 inches
197,San Nicolas,Caruncho Ave.,Lianas,2-3 inches
198,Manggahan,Taniman Ave.,Ampalaya St.,3-4 inches
199,Sta. Lucia,"Bautista
Compound",,15 cm
200,Maybunga,"San Antonio Abad
Subd.",Kamagong St.,12 inches
201,Sta. Lucia,"Morales
Compound",,
202,San Miguel,Lupang Pari,,5 inches
203,San Nicolas,F. Manalo St.,"infront of old City
Hall",3-4 inches
204,Caniogan,C. Dela Paz St.,,15 inches
205,Bagong Ilog,C5 Road,cor. Canley Road,5 inches
206,Manggahan,Ilang-Ilang St.,,5 inches
207,Rosario,Bathaluman St.,,2-3 inches
208,Rosario,C. Raymundo Ave.,cor. Bernal St.,2-3 inches
209,Manggahan,Pipino St.,,5 inches
210,Manggahan,Labanos St.,,5 inches
211,Kalawaan,Elisco Road,,2-3 inches
212,Manggahan,Mansanas St.,,5 inches
213,San Nicolas,Market Ave.,"infront of Mang
Inasal",2-3 inches
214,Manggahan,Kapitagan St.,,3-4 inches
215,Manggahan,Sampaguita St.,,3-4 inches
216,Bagong Ilog,Sgt. Pascua St.,Tawiran,2-3 inches
217,Bagong Ilog,Sgt. Pascua St.,Pook Maligaya,2-3 inches
218,Bagong Ilog,R. Valdez St.,,2-3 inches
219,Bagong Ilog,Sgt. G. Santos St.,,2-3 inches
220,Manggahan,Greenpark Village,Copenhagen St.,3-4 inches
221,Manggahan,Greenpark Village,Kingstone St.,3-4 inches
222,Bagong Ilog,B. Tatco St.,,2-3 inches
223,Bagong Ilog,A. Flores St.,Ilaya,3-5 inches
224,San Miguel,M. Eusebio Ave.,Villa Eusebio,2-3 inches
225,San Miguel,M. Eusebio Ave.,RTU,8 inches
226,Caniogan,Pag-Asa St.,,5 inches
